id,seed_influencer_id,matched_donor_id,similarity_score,created_at,seed_name
1,f9393eab-3e53-4fdb-b583-37524b0c6004,a9e78d99-7593-41db-bde5-35ec8df458a0,1,2025-09-01 02:27:37.891266,Joan Osborn
2,f9393eab-3e53-4fdb-b583-37524b0c6004,d806f6cd-c337-4326-9370-4ba1d064a6d0,1,2025-09-01 02:27:37.891266,Joan Osborn
3,f9393eab-3e53-4fdb-b583-37524b0c6004,05620726-05e5-446e-b6f7-2ab3ba04c8af,1,2025-09-01 02:27:37.891266,Joan Osborn
4,f9393eab-3e53-4fdb-b583-37524b0c6004,de451338-83d6-4ac6-ba42-c64c69efe4c9,1,2025-09-01 02:27:37.891266,Joan Osborn
5,f9393eab-3e53-4fdb-b583-37524b0c6004,a3e86fef-69e6-498b-b035-2ba04d12537e,1,2025-09-01 02:27:37.891266,Joan Osborn
6,fc2976d6-4ed8-4f3c-973f-ca00b2794b52,3a3161bc-78a1-4bfa-82ed-34c800775282,1,2025-09-01 02:27:37.891266,Jacob Greene
7,fc2976d6-4ed8-4f3c-973f-ca00b2794b52,e7204b75-204d-4432-abd6-34e47cada052,1,2025-09-01 02:27:37.891266,Jacob Greene
8,fc2976d6-4ed8-4f3c-973f-ca00b2794b52,ae408ba4-4e3e-47fe-808c-7f7f4123391f,1,2025-09-01 02:27:37.891266,Jacob Greene
9,fc2976d6-4ed8-4f3c-973f-ca00b2794b52,36d51d5f-60c7-42ff-96ba-c9edf71147fd,1,2025-09-01 02:27:37.891266,Jacob Greene
10,fc2976d6-4ed8-4f3c-973f-ca00b2794b52,f192c0b6-d402-42e9-8b1f-186f993864a1,1,2025-09-01 02:27:37.891266,Jacob Greene
11,ffcb3c1d-46d1-46c8-bbaa-fbeb9710cb18,7c1b3fe6-ea6a-4359-aed7-4ffbfe8fab81,1,2025-09-01 02:27:37.891266,Timothy Davidson
12,ffcb3c1d-46d1-46c8-bbaa-fbeb9710cb18,3c6d6df4-fd43-41f7-a2c1-ce517a65cb3b,1,2025-09-01 02:27:37.891266,Timothy Davidson
13,ffcb3c1d-46d1-46c8-bbaa-fbeb9710cb18,38e8e9c5-9578-40b5-8f4f-74a01ffb850f,1,2025-09-01 02:27:37.891266,Timothy Davidson
14,ffcb3c1d-46d1-46c8-bbaa-fbeb9710cb18,84d92b1c-752c-4656-aff1-72bb2f683c01,1,2025-09-01 02:27:37.891266,Timothy Davidson
15,ffcb3c1d-46d1-46c8-bbaa-fbeb9710cb18,2df1fde1-8e0b-40d7-911a-5f2703edbd07,1,2025-09-01 02:27:37.891266,Timothy Davidson
