donor_id,first_name,last_name,is_influencer,created_at,notes
90dd0881-b6eb-4a8c-84ca-c0205b14f30e,Pastor,Michael,True,2025-12-01T01:06:51.763182,Seeded influencer interested in Wellness
743671cf-c14c-4475-9d2c-7a143fa51ef8,Coach,Tanya,True,2025-12-01T01:06:51.801114,Seeded influencer interested in Running
6d3ec010-28a6-4047-8076-2fe901a72aaa,DJ,Karma,True,2025-12-01T01:06:51.842745,Seeded influencer interested in Music
45c02503-312b-40fa-b714-fb08b6b161a7,Nurse,Olivia,True,2025-12-01T01:06:51.885286,Seeded influencer interested in Mindfulness
1e2f0ef3-080c-4951-bd7c-c689e4f8c1c9,Yogi,Priya,True,2025-12-01T01:06:51.929395,Seeded influencer interested in Yoga
d4e40a68-3274-4f30-ba07-a76a10555433,Chef,Antonio,True,2025-12-01T01:06:51.972356,Seeded influencer interested in Meal Prep
869feaf2-f368-4a0d-9edd-d63114aa8f97,Dr.,Shah,True,2025-12-01T01:06:52.010652,Seeded influencer interested in Keto Diet
d2050e69-5cc7-4832-aff6-37caaaf87148,Sister,Grace,True,2025-12-01T01:06:52.052783,Seeded influencer interested in Meditation
321bea51-a9a9-4940-b273-9f3dd740ffd7,Trainer,Jason,True,2025-12-01T01:06:52.086911,Seeded influencer interested in Strength Training
9de79ddc-1582-463d-84aa-c9020bbdd329,Nutritionist,Nina,True,2025-12-01T01:06:52.126488,Seeded influencer interested in Vegan Diet
a08e189d-19cc-46b7-b1f9-b9869d8d22e9,Counselor,Karen,True,2025-12-01T01:06:52.169792,Seeded influencer interested in Digital Detox
b3a060b0-fb45-44cd-930a-e24e78969590,Minister,Lee,True,2025-12-01T01:06:52.207209,Seeded influencer interested in Minimalism
cf29d314-1f6a-4b4b-b6e2-48a88d6a3dfd,Coach,Marcus,True,2025-12-01T01:06:52.245837,Seeded influencer interested in Cycling
88d5c40e-3e96-4e48-a6e0-0de83da1ce75,Priest,Emmanuel,True,2025-12-01T01:06:52.282732,Seeded influencer interested in Minimalism
02220334-d27f-4b3f-bef7-639443a58d57,Health,Ana,True,2025-12-01T01:06:52.323879,Seeded influencer interested in Wellness
